MSD;Features;Lexical entries;Examples of usage
Afpfsoy;Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=oblique Definiteness=yes;8055;zvonitei/zvonit, zveltei/zvelt, zvârlitei/zvârlit, zvârcolitei/zvârcolit
Afpfsoyy;Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=oblique Definiteness=yes Clitic=yes;117;-nzorzonatei/înzorzonat, -nzestratei/înzestrat, -nzăpezitei/înzăpezit
Afpfp-n;Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Definiteness=no;13141;zvonite/zvonit, zvelte/zvelt, zvârlite/zvârlit, zvârcolite/zvârcolit
Afpfp-ny;Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Definiteness=no Clitic=yes;87;-nzorzonate/înzorzonat, -nzestrate/înzestrat, -nzăpezite/înzăpezit
Afpfpry;Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=direct Definiteness=yes;8069;zvonitele/zvonit, zveltele/zvelt, zvârlitele/zvârlit, zvârcolitele/zvârcolit
Afpfpryy;Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=direct Definiteness=yes Clitic=yes;117;-nzorzonatele/înzorzonat, -nzestratele/înzestrat, -nzăpezitele/înzăpezit
Afpfpon;Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=oblique Definiteness=no;2;serbede/searbăd, ataror/atare
Afpfpoy;Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=oblique Definiteness=yes;8054;zvonitelor/zvonit, zveltelor/zvelt, zvârlitelor/zvârlit, zvârcolitelor/zvârcolit
Afpfpoyy;Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=oblique Definiteness=yes Clitic=yes;117;-nzorzonatelor/înzorzonat, -nzestratelor/înzestrat, -nzăpezitelor/înzăpezit
Afcms-n;Adjective Type=qualificative Degree=comparative Gender=masculine Number=singular Definiteness=no;1;superior
Afcmp-n;Adjective Type=qualificative Degree=comparative Gender=masculine Number=plural Definiteness=no;1;superiori/superior
Afcmpry;Adjective Type=qualificative Degree=comparative Gender=masculine Number=plural Case=direct Definiteness=yes;1;superiorii/superior
Afcmpoy;Adjective Type=qualificative Degree=comparative Gender=masculine Number=plural Case=oblique Definiteness=yes;1;superiorilor/superior
Afcfsrn;Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=direct Definiteness=no;1;superioară/superior
Afcfsry;Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=direct Definiteness=yes;1;superioara/superior
Afcfson;Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=oblique Definiteness=no;1;superioare/superior
Afcfsoy;Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=oblique Definiteness=yes;1;superioarei/superior
Afcfp-n;Adjective Type=qualificative Degree=comparative Gender=feminine Number=plural Definiteness=no;1;superioare/superior
Afcfpry;Adjective Type=qualificative Degree=comparative Gender=feminine Number=plural Case=direct Definiteness=yes;1;superioarele/superior
Afcfpoy;Adjective Type=qualificative Degree=comparative Gender=feminine Number=plural Case=oblique Definiteness=yes;1;superioarelor/superior
Afs;Adjective Type=qualificative Degree=superlative;1;extra
Afsms-n;Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Definiteness=no;5;preaiubit, preafrumos, preafericit, perfect, extrem
Afsmsvy;Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Case=vocative Definiteness=yes;1;preafericitule/preafericit
Afsmsry;Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Case=direct Definiteness=yes;4;preaiubitul/preaiubit, preafrumosul/preafrumos, preafericitul/preafericit
Afsmsoy;Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Case=oblique Definiteness=yes;4;preaiubitului/preaiubit, preafrumosului/preafrumos, preafericitului/preafericit
Afsmp-n;Adjective Type=qualificative Degree=superlative Gender=masculine Number=plural Definiteness=no;5;preaiubiţi/preaiubit, preafrumoşi/preafrumos, preafericiţi/preafericit
Afsmpry;Adjective Type=qualificative Degree=superlative Gender=masculine Number=plural Case=direct Definiteness=yes;5;preaiubiţii/preaiubit, preafrumoşii/preafrumos, preafericiţii/preafericit
Afsmpoy;Adjective Type=qualificative Degree=superlative Gender=masculine Number=plural Case=oblique Definiteness=yes;5;preaiubiţilor/preaiubit, preafrumoşilor/preafrumos, preafericiţilor/preafericit
Afsfsrn;Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=direct Definiteness=no;5;preaiubită/preaiubit, preafrumoasă/preafrumos, preafericită/preafericit
Afsfsry;Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=direct Definiteness=yes;5;preaiubita/preaiubit, preafrumoasa/preafrumos, preafericita/preafericit
Afsfson;Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=oblique Definiteness=no;5;preaiubite/preaiubit, preafrumoase/preafrumos, preafericite/preafericit
Afsfsoy;Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=oblique Definiteness=yes;5;preaiubitei/preaiubit, preafrumoasei/preafrumos, preafericitei/preafericit
Afsfp-n;Adjective Type=qualificative Degree=superlative Gender=feminine Number=plural Definiteness=no;5;preaiubite/preaiubit, preafrumoase/preafrumos, preafericite/preafericit
Afsfpry;Adjective Type=qualificative Degree=superlative Gender=feminine Number=plural Case=direct Definiteness=yes;5;preaiubitele/preaiubit, preafrumoasele/preafrumos, preafericitele/preafericit
Afsfpoy;Adjective Type=qualificative Degree=superlative Gender=feminine Number=plural Case=oblique Definiteness=yes;5;preaiubitelor/preaiubit, preafrumoaselor/preafrumos, preafericitelor/preafericit
Pp1-sn--------s;Pronoun Type=personal Person=first Number=singular Case=nominative Pronoun_Form=strong;1;eu
Pp1-sd--------s;Pronoun Type=personal Person=first Number=singular Case=dative Pronoun_Form=strong;1;mie/eu
Pp1-sd--------w;Pronoun Type=personal Person=first Number=singular Case=dative Pronoun_Form=weak;2;mi/eu, îmi/eu
Pp1-sd--y-----w;Pronoun Type=personal Person=first Number=singular Case=dative Clitic=yes Pronoun_Form=weak;4;-m'/îmi, mi-/eu, -mi/eu, îm'/îmi
Pp1-sa--------s;Pronoun Type=personal Person=first Number=singular Case=accusative Pronoun_Form=strong;1;mine/eu
Pp1-sa--------w;Pronoun Type=personal Person=first Number=singular Case=accusative Pronoun_Form=weak;1;mă/eu
Pp1-sa--y-----w;Pronoun Type=personal Person=first Number=singular Case=accusative Clitic=yes Pronoun_Form=weak;4;m-/eu, -m/eu, mă-/eu, -mă/eu
Pp1-sr--------s;Pronoun Type=personal Person=first Number=singular Case=direct Pronoun_Form=strong;1;io/eu
Pp1-pd--------s;Pronoun Type=personal Person=first Number=plural Case=dative Pronoun_Form=strong;1;nouă/noi
Pp1-pd--------w;Pronoun Type=personal Person=first Number=plural Case=dative Pronoun_Form=weak;2;ni/noi, ne/noi
Pp1-pd--y-----w;Pronoun Type=personal Person=first Number=plural Case=dative Clitic=yes Pronoun_Form=weak;4;ni-/noi, -ni/noi, ne-/noi, -ne/noi
Pp1-pa--------w;Pronoun Type=personal Person=first Number=plural Case=accusative Pronoun_Form=weak;1;ne/noi
Pp1-pa--y-----w;Pronoun Type=personal Person=first Number=plural Case=accusative Clitic=yes Pronoun_Form=weak;2;ne-/noi, -ne/noi
Pp1-pr--------s;Pronoun Type=personal Person=first Number=plural Case=direct Pronoun_Form=strong;1;noi
Pp2-----------s;Pronoun Type=personal Person=second Pronoun_Form=strong;1;dumneavoastră
Pp2-s---------s;Pronoun Type=personal Person=second Number=singular Pronoun_Form=strong;1;matale/mata
Pp2-sn--------s;Pronoun Type=personal Person=second Number=singular Case=nominative Pronoun_Form=strong;1;tu
Pp2-sd--------s;Pronoun Type=personal Person=second Number=singular Case=dative Pronoun_Form=strong;1;ţie/tu
Pp2-sd--------w;Pronoun Type=personal Person=second Number=singular Case=dative Pronoun_Form=weak;2;ţi/tu, îţi/tu
Pp2-sd--y-----w;Pronoun Type=personal Person=second Number=singular Case=dative Clitic=yes Pronoun_Form=weak;7;ţi-/tu, 'ţi/tu, -ţi/tu, ţ'/îţi, -ţ'/îţi, -ţ/îţi, îţ'/îţi
Pp2-sa--------s;Pronoun Type=personal Person=second Number=singular Case=accusative Pronoun_Form=strong;1;tine/tu
Pp2-sa--------w;Pronoun Type=personal Person=second Number=singular Case=accusative Pronoun_Form=weak;1;te/tu
Pp2-sa--y-----w;Pronoun Type=personal Person=second Number=singular Case=accusative Clitic=yes Pronoun_Form=weak;2;te-/tu, -te/tu
Pp2-sr--------s;Pronoun Type=personal Person=second Number=singular Case=direct Pronoun_Form=strong;2;mata, dumneata
Pp2-so--------s;Pronoun Type=personal Person=second Number=singular Case=oblique Pronoun_Form=strong;1;dumitale/dumneata
Pp2-pd--------s;Pronoun Type=personal Person=second Number=plural Case=dative Pronoun_Form=strong;1;vouă/voi
Pp2-pd--------w;Pronoun Type=personal Person=second Number=plural Case=dative Pronoun_Form=weak;2;vi/voi, vă/voi
Pp2-pd--y-----w;Pronoun Type=personal Person=second Number=plural Case=dative Clitic=yes Pronoun_Form=weak;6;v-/voi, -v/voi, vi-/voi, -vi/voi, vă-/voi, -vă/voi
Pp2-pa--------w;Pronoun Type=personal Person=second Number=plural Case=accusative Pronoun_Form=weak;1;vă/voi
Pp2-pa--y-----w;Pronoun Type=personal Person=second Number=plural Case=accusative Clitic=yes Pronoun_Form=weak;4;v-/voi, -v/voi, vă-/voi, -vă/voi
Pp2-pr--------s;Pronoun Type=personal Person=second Number=plural Case=direct Pronoun_Form=strong;1;voi
Pp3-sd--------w;Pronoun Type=personal Person=third Number=singular Case=dative Pronoun_Form=weak;2;îi/el, i/el
Pp3-sd--y-----w;Pronoun Type=personal Person=third Number=singular Case=dative Clitic=yes Pronoun_Form=weak;2;i-/el, -i/el
Pp3-sr--------s;Pronoun Type=personal Person=third Number=singular Case=direct Pronoun_Form=strong;2;dumneasa, domnia_sa
Pp3-so--------s;Pronoun Type=personal Person=third Number=singular Case=oblique Pronoun_Form=strong;1;dumisale/dumneasa
Pp3-p---------s;Pronoun Type=personal Person=third Number=plural Pronoun_Form=strong;1;dumnealor/dumnealui
Pp3-pd--------w;Pronoun Type=personal Person=third Number=plural Case=dative Pronoun_Form=weak;2;li/el, le/el
Pp3-pd--y-----w;Pronoun Type=personal Person=third Number=plural Case=dative Clitic=yes Pronoun_Form=weak;4;li-/el, -li/el, le-/el, -le/el
Pp3-po--------s;Pronoun Type=personal Person=third Number=plural Case=oblique Pronoun_Form=strong;1;lor/el
Pp3ms---------s;Pronoun Type=personal Person=third Gender=masculine Number=singular Pronoun_Form=strong;1;dumnealui
Pp3msa--------w;Pronoun Type=personal Person=third Gender=masculine Number=singular Case=accusative Pronoun_Form=weak;1;îl/el
Pp3msa--y-----w;Pronoun Type=personal Person=third Gender=masculine Number=singular Case=accusative Clitic=yes Pronoun_Form=weak;3;l-/el, l/el, -l/el
Pp3msr--------s;Pronoun Type=personal Person=third Gender=masculine Number=singular Case=direct Pronoun_Form=strong;3;iel/el, el, dânsul
Pp3msr--y-----s;Pronoun Type=personal Person=third Gender=masculine Number=singular Case=direct Clitic=yes Pronoun_Form=strong;1;însul
Pp3mso--------s;Pronoun Type=personal Person=third Gender=masculine Number=singular Case=oblique Pronoun_Form=strong;1;lui/el
Pp3mpa--------w;Pronoun Type=personal Person=third Gender=masculine Number=plural Case=accusative Pronoun_Form=weak;1;îi/el
Pp3mpa--y-----w;Pronoun Type=personal Person=third Gender=masculine Number=plural Case=accusative Clitic=yes Pronoun_Form=weak;2;i-/el, -i/el
Pp3mpr--------s;Pronoun Type=personal Person=third Gender=masculine Number=plural Case=direct Pronoun_Form=strong;2;ei/el, dânşii/dânsul
Pp3mpr--y-----s;Pronoun Type=personal Person=third Gender=masculine Number=plural Case=direct Clitic=yes Pronoun_Form=strong;1;înşii/însul
Pp3mpo--------s;Pronoun Type=personal Person=third Gender=masculine Number=plural Case=oblique Pronoun_Form=strong;1;dânşilor/dânsul
Pp3fs---------s;Pronoun Type=personal Person=third Gender=feminine Number=singular Pronoun_Form=strong;1;dumneaei/dumnealui
Pp3fsa--------w;Pronoun Type=personal Person=third Gender=feminine Number=singular Case=accusative Pronoun_Form=weak;2;o-/el, o/el
Pp3fsa--y-----w;Pronoun Type=personal Person=third Gender=feminine Number=singular Case=accusative Clitic=yes Pronoun_Form=weak;1;-o/el
Pp3fsr--------s;Pronoun Type=personal Person=third Gender=feminine Number=singular Case=direct Pronoun_Form=strong;2;ea/el, dânsa/dânsul
Pp3fsr--y-----s;Pronoun Type=personal Person=third Gender=feminine Number=singular Case=direct Clitic=yes Pronoun_Form=strong;1;însa/însul
Pp3fso--------s;Pronoun Type=personal Person=third Gender=feminine Number=singular Case=oblique Pronoun_Form=strong;2;ei/el, dânsei/dânsul
Pp3fpa--------w;Pronoun Type=personal Person=third Gender=feminine Number=plural Case=accusative Pronoun_Form=weak;1;le/el
Pp3fpa--y-----w;Pronoun Type=personal Person=third Gender=feminine Number=plural Case=accusative Clitic=yes Pronoun_Form=weak;2;le-/el, -le/el
Pp3fpr--------s;Pronoun Type=personal Person=third Gender=feminine Number=plural Case=direct Pronoun_Form=strong;3;iele/ele, ele/el, dânsele/dânsul
Pp3fpr--y-----s;Pronoun Type=personal Person=third Gender=feminine Number=plural Case=direct Clitic=yes Pronoun_Form=strong;1;însele/însul
Pp3fpo--------s;Pronoun Type=personal Person=third Gender=feminine Number=plural Case=oblique Pronoun_Form=strong;1;dânselor/dânsul
Pd3-po;Pronoun Type=demonstrative Person=third Number=plural Case=oblique;6;celora/cela, ăstora/ăsta, ălora/ăla, acestora/acesta, aceloraşi/acelaşi
Pd3msr;Pronoun Type=demonstrative Person=third Gender=masculine Number=singular Case=direct;8;cestălalt, celălalt, cela, ăsta, ăla, acesta, acelaşi, acela
Pd3msr--y;Pronoun Type=demonstrative Person=third Gender=masculine Number=singular Case=direct Clitic=yes;1;-ăla/ăla
Pd3mso;Pronoun Type=demonstrative Person=third Gender=masculine Number=singular Case=oblique;8;cestuilalt/cestălalt, celuilalt/celălalt, celuia/cela, ăstuia/ăsta
Pd3mpr;Pronoun Type=demonstrative Person=third Gender=masculine Number=plural Case=direct;9;ceştilalţi/cestălalt, ceilalţi/celălalt, ceia/cela, ăştia/ăsta
Pd3mpr--y;Pronoun Type=demonstrative Person=third Gender=masculine Number=plural Case=direct Clitic=yes;2;-ăştia/ăsta, -ăia/ăla
Pd3mpo;Pronoun Type=demonstrative Person=third Gender=masculine Number=plural Case=oblique;2;cestorlalţi/cestălalt, celorlalţi/celălalt
Pd3fsr;Pronoun Type=demonstrative Person=third Gender=feminine Number=singular Case=direct;8;ceea/cela, ceastălaltă/cestălalt, cealaltă/celălalt, asta/ăsta
Pd3fsr--y;Pronoun Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Clitic=yes;2;ast-/ăsta, ast/asta
Pd3fso;Pronoun Type=demonstrative Person=third Gender=feminine Number=singular Case=oblique;8;cesteilalte/cestălalt, celeilalte/celălalt, celeia/cela, ăsteia/ăsta
Pd3fpr;Pronoun Type=demonstrative Person=third Gender=feminine Number=plural Case=direct;9;cestelalte/cestălalt, celelalte/celălalt, cele/cela, celea/cela
Pd3fpr--y;Pronoun Type=demonstrative Person=third Gender=feminine Number=plural Case=direct Clitic=yes;2;-astea/ăsta, -alea/ăla
Pd3fpo;Pronoun Type=demonstrative Person=third Gender=feminine Number=plural Case=oblique;2;cestorlalte/cestălalt, celorlalte/celălalt
Pi3;Pronoun Type=indefinite Person=third;3;oarecare, niscaiva, a_dreaptă
Pi3--r;Pronoun Type=indefinite Person=third Case=direct;4;oricare, cutare, cine_ştie_cine, cine_ştie_ce
Pi3-sr;Pronoun Type=indefinite Person=third Number=singular Case=direct;14;orişicine, orişice, orişicare, oricine, orice, fiecare, cineva
Pi3-so;Pronoun Type=indefinite Person=third Number=singular Case=oblique;4;orişicui/orişicine, oricui/oricine, cuiva/cineva, altcuiva/altcineva
Pi3-po;Pronoun Type=indefinite Person=third Number=plural Case=oblique;13;vreunora/vreunul, unora/unul, tuturor/tot, tuturora/tot, orişicâtor/orişicât
Pi3msr;Pronoun Type=indefinite Person=third Gender=masculine Number=singular Case=direct;17;vreunul, unul, -unul/unul, totul/tot, tot, puţin, orişicât, oricât
Pi3msr--y;Pronoun Type=indefinite Person=third Gender=masculine Number=singular Case=direct Clitic=yes;5;unu'/unul, unu-/unul, unu/unul, totu'/tot, totu/tot
Pi3mso;Pronoun Type=indefinite Person=third Gender=masculine Number=singular Case=oblique;9;vreunuia/vreunul, unuia/unul, totului/tot, orişicăruia/orişicare
Pi3mpr;Pronoun Type=indefinite Person=third Gender=masculine Number=plural Case=direct;12;vreunii/vreunul, unii/unul, toţi/tot, puţini/puţin, orişicâţi/orişicât
Pi3fsr;Pronoun Type=indefinite Person=third Gender=feminine Number=singular Case=direct;11;vreuna/vreunul, una/unul, toată/tot, puţină/puţin, orişicâtă/orişicât
Pi3fso;Pronoun Type=indefinite Person=third Gender=feminine Number=singular Case=oblique;7;vreuneia/vreunul, uneia/unul, orişicăreia/orişicare, oricăreia/oricare
Pi3fpr;Pronoun Type=indefinite Person=third Gender=feminine Number=plural Case=direct;14;vreunele/vreunul, unele/unul, toate/tot, puţine/puţin, orişicâte/orişicât
Ps1ms-s;Pronoun Type=possessive Person=first Gender=masculine Number=singular Owner_Number=singular;1;meu
Ps1ms-p;Pronoun Type=possessive Person=first Gender=masculine Number=singular Owner_Number=plural;1;nostru
Ps1mp-s;Pronoun Type=possessive Person=first Gender=masculine Number=plural Owner_Number=singular;1;mei/meu
Ps1mp-p;Pronoun Type=possessive Person=first Gender=masculine Number=plural Owner_Number=plural;1;noştri/nostru
Ps1fsrs;Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=singular;1;mea/meu
Ps1fsrp;Pronoun Type=possessive Person=first Gender=feminine Number=singular Case=direct Owner_Number=plural;1;noastră/nostru
Ps1fp-s;Pronoun Type=possessive Person=first Gender=feminine Number=plural Owner_Number=singular;1;mele/meu
Ps1fp-p;Pronoun Type=possessive Person=first Gender=feminine Number=plural Owner_Number=plural;1;noastre/nostru
Ps2ms-s;Pronoun Type=possessive Person=second Gender=masculine Number=singular Owner_Number=singular;1;tău
Ps2ms-p;Pronoun Type=possessive Person=second Gender=masculine Number=singular Owner_Number=plural;1;vostru
Ps2msrs-y;Pronoun Type=possessive Person=second Gender=masculine Number=singular Case=direct Owner_Number=singular Clitic=yes;1;-tău/tău
Ps2mp-s;Pronoun Type=possessive Person=second Gender=masculine Number=plural Owner_Number=singular;1;tăi/tău
Ps2mp-p;Pronoun Type=possessive Person=second Gender=masculine Number=plural Owner_Number=plural;1;voştri/vostru
Ps2fsrs;Pronoun Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=singular;1;ta/tău
Ps2fsrp;Pronoun Type=possessive Person=second Gender=feminine Number=singular Case=direct Owner_Number=plural;1;voastră/vostru
Ps2fp-s;Pronoun Type=possessive Person=second Gender=feminine Number=plural Owner_Number=singular;1;tale/tău
Ps2fp-p;Pronoun Type=possessive Person=second Gender=feminine Number=plural Owner_Number=plural;1;voastre/vostru
Ps3ms-s;Pronoun Type=possessive Person=third Gender=masculine Number=singular Owner_Number=singular;1;său
Ps3mp-s;Pronoun Type=possessive Person=third Gender=masculine Number=plural Owner_Number=singular;1;săi/său
Ps3fsrs;Pronoun Type=possessive Person=third Gender=feminine Number=singular Case=direct Owner_Number=singular;1;sa/său
Ps3fp-s;Pronoun Type=possessive Person=third Gender=feminine Number=plural Owner_Number=singular;1;sale/său
Px3--d--------s;Pronoun Type=reflexive Person=third Case=dative Pronoun_Form=strong;2;sieşi, sie/sieşi
Px3--d--------w;Pronoun Type=reflexive Person=third Case=dative Pronoun_Form=weak;2;şi/sieşi, îşi/sieşi
Px3--d--y-----w;Pronoun Type=reflexive Person=third Case=dative Clitic=yes Pronoun_Form=weak;2;şi-/sieşi, -şi/sieşi
Px3--a--------s;Pronoun Type=reflexive Person=third Case=accusative Pronoun_Form=strong;2;sineşi/sine, sine
Px3--a--------w;Pronoun Type=reflexive Person=third Case=accusative Pronoun_Form=weak;2;se/sine, să/se
Px3--a--y-----w;Pronoun Type=reflexive Person=third Case=accusative Clitic=yes Pronoun_Form=weak;4;s-/sine, -s/sine, se-/sine, -se/sine
Pz3-sr;Pronoun Type=negative Person=third Number=singular Case=direct;4;nimic, nimica, nimeni, nimenea
Pz3-so;Pronoun Type=negative Person=third Number=singular Case=oblique;2;nimănui/nimeni, nimănuia/nimeni
Pz3-po;Pronoun Type=negative Person=third Number=plural Case=oblique;1;nici_unora/nici_unul
Pz3msr;Pronoun Type=negative Person=third Gender=masculine Number=singular Case=direct;1;nici_unul
Pz3mso;Pronoun Type=negative Person=third Gender=masculine Number=singular Case=oblique;1;nici_unuia/nici_unul
Pz3mpr;Pronoun Type=negative Person=third Gender=masculine Number=plural Case=direct;1;nici_unii/nici_unul
Pz3fsr;Pronoun Type=negative Person=third Gender=feminine Number=singular Case=direct;1;nici_una/nici_unul
Pz3fso;Pronoun Type=negative Person=third Gender=feminine Number=singular Case=oblique;1;nici_uneia/nici_unul
Pz3fpr;Pronoun Type=negative Person=third Gender=feminine Number=plural Case=direct;1;nici_unele/nici_unul
Pw3--r;Pronoun Type=int-rel Person=third Case=direct;6;de, dă/de, cine, ceea_ce, ce, care
Pw3-so;Pronoun Type=int-rel Person=third Number=singular Case=oblique;1;cui/cine
Pw3-po;Pronoun Type=int-rel Person=third Number=plural Case=oblique;3;câtor/cât, căror/care, cărora/care
Pw3msr;Pronoun Type=int-rel Person=third Gender=masculine Number=singular Case=direct;2;câtelea, cât
Pw3mso;Pronoun Type=int-rel Person=third Gender=masculine Number=singular Case=oblique;2;cărui/care, căruia/care
Pw3mpr;Pronoun Type=int-rel Person=third Gender=masculine Number=plural Case=direct;1;câţi/cât
Pw3fsr;Pronoun Type=int-rel Person=third Gender=feminine Number=singular Case=direct;2;câtă/cât, câta/câtelea
Pw3fso;Pronoun Type=int-rel Person=third Gender=feminine Number=singular Case=oblique;2;cărei/care, căreia/care
Pw3fpr;Pronoun Type=int-rel Person=third Gender=feminine Number=plural Case=direct;1;câte/cât
Dd3-po---e;Determiner Type=demonstrative Person=third Number=plural Case=oblique Modific_Type=prenomin;5;ăstor/ăst, ălor/ăl, acestor/acest, aceloraşi/acelaşi, acelor/acel
Dd3-po---o;Determiner Type=demonstrative Person=third Number=plural Case=oblique Modific_Type=postnomin;5;celora/cela, ăstora/ăsta, ălora/ăla, acestora/acesta, acelora/acela
Dd3msr;Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=direct;2;cestălalt, celălalt
Dd3msr---e;Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=direct Modific_Type=prenomin;5;ăst, ăl, acest, acelaşi, acel
Dd3msr---o;Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=direct Modific_Type=postnomin;5;cela, ăsta, ăla, acesta, acela
Dd3msr--yo;Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=direct Clitic=yes Modific_Type=postnomin;1;-ăla/ăla
Dd3mso;Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=oblique;2;cestuilalt/cestălalt, celuilalt/celălalt
Dd3mso---e;Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=oblique Modific_Type=prenomin;5;ăstui/ăst, ălui/ăl, acestui/acest, aceluiaşi/acelaşi, acelui/acel
Dd3mso---o;Determiner Type=demonstrative Person=third Gender=masculine Number=singular Case=oblique Modific_Type=postnomin;5;celuia/cela, ăstuia/ăsta, ăluia/ăla, acestuia/acesta, aceluia/acela
Dd3mpr;Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=direct;2;ceştilalţi/cestălalt, ceilalţi/celălalt
Dd3mpr---e;Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=direct Modific_Type=prenomin;5;ăşti/ăst, ăi/ăl, aceşti/acest, aceiaşi/acelaşi, acei/acel
Dd3mpr---o;Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=direct Modific_Type=postnomin;5;ceia/cela, ăştia/ăsta, ăia/ăla, aceştia/acesta, aceia/acela
Dd3mpr--yo;Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=direct Clitic=yes Modific_Type=postnomin;1;-ăia/ăla
Dd3mpo;Determiner Type=demonstrative Person=third Gender=masculine Number=plural Case=oblique;2;cestorlalţi/cestălalt, celorlalţi/celălalt
Dd3fsr;Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct;2;ceastălaltă/cestălalt, cealaltă/celălalt
Dd3fsr---e;Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Modific_Type=prenomin;4;astă/ăst, aceeaşi/acelaşi, această/acest, acea/acel
Dd3fsr---o;Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Modific_Type=postnomin;5;ceea/cela, asta/ăsta, aia/ăla, aceea/acela, aceasta/acesta
Dd3fsr--ye;Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Clitic=yes Modific_Type=prenomin;2;-această/acest, -acea/acel
Dd3fsr--yo;Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=direct Clitic=yes Modific_Type=postnomin;1;-aceasta/acesta
Dd3fso;Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=oblique;2;cesteilalte/cestălalt, celeilalte/celălalt
Dd3fso---e;Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=oblique Modific_Type=prenomin;5;ăstei/ăst, ălei/ăl, acestei/acest, aceleiaşi/acelaşi, acelei/acel
Dd3fso---o;Determiner Type=demonstrative Person=third Gender=feminine Number=singular Case=oblique Modific_Type=postnomin;5;celeia/cela, ăsteia/ăsta, ăleia/ăla, acesteia/acesta, aceleia/acela
Dd3fpr;Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=direct;2;cestelalte/cestălalt, celelalte/celălalt
Dd3fpr---e;Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=direct Modific_Type=prenomin;4;aste/ăst, aceste/acest, aceleaşi/acelaşi, acele/acel
Dd3fpr---o;Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=direct Modific_Type=postnomin;5;celea/cela, astea/ăsta, alea/ăla, acestea/acesta, acelea/acela
Dd3fpr--y;Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=direct Clitic=yes;2;-astea/ăsta, -alea/ăla
Dd3fpo;Determiner Type=demonstrative Person=third Gender=feminine Number=plural Case=oblique;2;cestorlalte/cestălalt, celorlalte/celălalt
Di3;Determiner Type=indefinite Person=third;3;oarece, oarecare, nişte
Di3------e;Determiner Type=indefinite Person=third Modific_Type=prenomin;2;niscaiva, niscai
Di3-----y;Determiner Type=indefinite Person=third Clitic=yes;1;to'/tot
Di3--r;Determiner Type=indefinite Person=third Case=direct;1;oareşicare
Di3--r---e;Determiner Type=indefinite Person=third Case=direct Modific_Type=prenomin;4;orice, oricare, cutare, cine_ştie_care
Di3-s----e;Determiner Type=indefinite Person=third Number=singular Modific_Type=prenomin;1;alde
Di3-sr;Determiner Type=indefinite Person=third Number=singular Case=direct;1;atâta/atât
Di3-sr---e;Determiner Type=indefinite Person=third Number=singular Case=direct Modific_Type=prenomin;5;orişice, orişicare, fiece, fiecare, ceva
Di3-sr--y;Determiner Type=indefinite Person=third Number=singular Case=direct Clitic=yes;1;-atâta/atât
Di3-po;Determiner Type=indefinite Person=third Number=plural Case=oblique;3;tuturor/tot, câtorva/câtva, atâtor/atât
Di3-po---e;Determiner Type=indefinite Person=third Number=plural Case=oblique Modific_Type=prenomin;6;vreunor/vreun, oricăror/oricare, multor/mult, cutăror/cutare
